Gender,Shift,wg,metmin
M,8am,6,2609
F,7am,NA,
M,10am,10,2216
F,other,NA,
F,other,NA,
F,9am,NA,
F,11am,5,2682
F,9am,NA,
M,7am,10,2214
F,7am,NA,
F,11am,NA,
F,8am,NA,
F,8am,20,1550
F,8am,6,2715
F,8am,NA,
M,8am,40,1167
M,11am,NA,
F,8am,NA,
M,other,15,1857
F,9am,40,1170
F,8am,15,1815
M,8am,NA,
F,7am,30,1379
F,10am,5,2891
F,8am,NA,
M,9am,15,1858
F,9am,10,2147
F,8am,30,1282
M,8am,30,1410
F,11am,10,2187
F,11am,NA,
F,11am,7,2548
F,11am,10,2154
F,9am,7,2597
F,9am,6,2628
F,        ,20,1714
F,8am,50,904
M,2pm     ,25,1360
F,8am,20,1618
F,8am,20,1715
F,10am,20,1725
M,8am,NA,
F,8am,NA,
F,9am,5,2856
M,8am,NA,
F,8am,5,2858
F,8am,20,1693
F,8am,40,1093
F,9am,20,1616
F,9am,15,1775
F,8am,NA,
M,8am,40,1008
F,11am,4,3045
M,8am,10,2197
M,10am,25,1456
M,11am,10,2249
F,8am,10,2178
F,10am,NA,
F,10am,15,1794
F,11am,NA,
F,8am,NA,
F,9am,NA,
F,11am,15,1875
M,11am,NA,
F,10am,NA,
F,11am,NA,
M,11am,10,2164
